HIV ELISA (Serum),Negative,Normal,
HIV ELISA (Serum),Positive,Abnormal,
HIV Tridot,Negative,Normal,
HIV Tridot,Positive,Abnormal,,
Morphology,Abnornal,Abnormal,,
Morphology,Normal,Normal,
Parallel Urine Sugar (Fasting Blood),4+,Abnormal,
Parallel Urine Sugar (Fasting Blood),3+,Abnormal,
Parallel Urine Sugar (Fasting Blood),2+,Abnormal,
Parallel Urine Sugar (Fasting Blood),1+,Abnormal,
Parallel Urine Sugar (Fasting Blood),Trace,Normal,
Parallel Urine Sugar (Fasting Blood),Nil,Normal,
Parasite,Absent,Normal,
Parasite,Present,Abnormal,
RA Factor - Qualitative,Negative,Normal,
RA Factor - Qualitative,Positive 1:32,Abnormal,
RA Factor - Qualitative,Positive 1:16,Normal,
RA Factor - Qualitative,Positive 1:8,Normal,
RA Factor - Qualitative,Positive 1:4,Normal,
RA Factor - Qualitative,Positive 1:2,Normal,
PS for mf by concentration,Negative,Normal,
PS for mf by concentration,Positive,Abnormal,
Result,Azo Spermia,Abnormal,
Result,Oligo Spermia,Abnormal,
Result,Normo Spermia,Normal,
PS for Malaria Parasites,Negative,Normal,
PS for Malaria Parasites,Positive,Abnormal,
Sickling Test,Negative,Normal,
Sickling Test,Positive,Abnormal,
PS for RBC Morphology,Normal Smear,Normal,
PS for RBC Morphology,Sickle Cell Anaemia,Abnormal,
PS for RBC Morphology,Parasitic Anaemia,Abnormal,
PS for RBC Morphology,Due to Bone Marrow Failure Anaemia,Abnormal,
PS for RBC Morphology,Pancytopenia,Abnormal,
PS for RBC Morphology,Haemorrhagic Anaemia,Abnormal,
PS for RBC Morphology,Megaloblastic Anaemia,Abnormal,
PS for RBC Morphology,Haemolytic Amaemia,Abnormal,
PS for RBC Morphology,Iron Deficiency Anaemia,Abnormal,
Stool occult blood,Positive 4+,Abnormal,
Stool occult blood,Positive 3+,Abnormal,
Stool occult blood,Positive 2+,Abnormal,
Stool occult blood,Positive 1+,Abnormal,
Stool occult blood,Positive,Abnormal,
Stool occult blood,Negative,Normal,
Blood Group (Relative),AB-,Normal,
Blood Group (Relative),B-,Normal,
Blood Group (Relative),A-,Normal,
Blood Group (Relative),O-,Normal,
Blood Group (Relative),AB+,Normal,
Blood Group (Relative),B+,Normal,
Blood Group (Relative),A+,Normal,
Blood Group (Relative),O+,Normal,
Cross Match,Not OK,Abnormal,
Cross Match,OK,Normal,
ZN Stain (Tissue),Negative,Normal,
ZN Stain (Tissue),Positive 6+,Abnormal,
ZN Stain (Tissue),Positive 5+,Abnormal,
ZN Stain (Tissue),Positive 4+,Abnormal,
ZN Stain (Tissue),Positive 3+,Abnormal,
ZN Stain (Tissue),Positive 2+,Abnormal,
ZN Stain (Tissue),Positive 2+,Abnormal,
ZN Stain (Tissue),Positive 1+,Abnormal,
Hanging Drop (Stool),Negative,Normal,
Hanging Drop (Stool),Positive,Abnormal,
Fat (Semi Quantitative),Absent,Normal,
Fat (Semi Quantitative),Present,Abnormal,
Malaria Parasite,Negative,Normal,
Malaria Parasite,Positive,Abnormal,
Patient Blood Group,AB-,Normal,
Patient Blood Group,B-,Normal,
Patient Blood Group,A-,Normal,
Patient Blood Group,O-,Normal,
Patient Blood Group,AB+,Normal,
Patient Blood Group,B+,Normal,
Patient Blood Group,A+,Normal,
Patient Blood Group,O+,Normal,
Pendy Reagent Test,Negative,Normal,
Pendy Reagent Test,Positive,Abnormal,
Reducing substance,Positive 4+,Abnormal,
Reducing substance,Positive 3+,Abnormal,
Reducing substance,Positive 2+,Abnormal,
Reducing substance,Positive 1+,Abnormal,
Reducing substance,Positive,Abnormal,
Reducing substance,Negative,Normal,
Sugar (Routine Urine),4+,Abnormal,
Sugar (Routine Urine),3+,Abnormal,
Sugar (Routine Urine),2+,Abnormal,
Sugar (Routine Urine),1+,Abnormal,
Sugar (Routine Urine),Trace,Normal,
Sugar (Routine Urine),Nil,Normal,
Coombs Test (Direct),Negative,Normal,
Coombs Test (Direct),Positive,Abnormal,
Coombs Test (Indirect),Negative,Normal,
Coombs Test (Indirect),Positive,Abnormal,
G6PD,Negative,Normal,
G6PD,Positive,Abnormal,
Hb Electrophoresis,SS,Abnormal,
Hb Electrophoresis,AS,Abnormal,
Hb Electrophoresis,AA,Normal,
Parallel Urine Sugar (120 mins),4+,Abnormal,
Parallel Urine Sugar (120 mins),3+,Abnormal,
Parallel Urine Sugar (120 mins),2+,Abnormal,
Parallel Urine Sugar (120 mins),1+,Abnormal,
Parallel Urine Sugar (120 mins),Trace,Normal,
Parallel Urine Sugar (120 mins),Nil,Normal,
Parallel Urine Sugar (30 mins),4+,Abnormal,
Parallel Urine Sugar (30 mins),3+,Abnormal,
Parallel Urine Sugar (30 mins),2+,Abnormal,
Parallel Urine Sugar (30 mins),1+,Abnormal,
Parallel Urine Sugar (30 mins),Trace,Normal,
Parallel Urine Sugar (30 mins),Nil,Normal,
Parallel Urine Sugar (60 mins),4+,Abnormal,
Parallel Urine Sugar (60 mins),3+,Abnormal,
Parallel Urine Sugar (60 mins),2+,Abnormal,
Parallel Urine Sugar (60 mins),1+,Abnormal,
Parallel Urine Sugar (60 mins),Trace,Normal,
Parallel Urine Sugar (60 mins),Nil,Normal,
Parallel Urine Sugar (90 mins),4+,Abnormal,
Parallel Urine Sugar (90 mins),3+,Abnormal,
Parallel Urine Sugar (90 mins),2+,Abnormal,
Parallel Urine Sugar (90 mins),1+,Abnormal,
Parallel Urine Sugar (90 mins),Trace,Normal,
Parallel Urine Sugar (90 mins),Nil,Normal,
Anti Streptolysin Qualitative,Negative,Normal,
Anti Streptolysin Qualitative,Positive 1:32,Abnormal,
Anti Streptolysin Qualitative,Positive 1:16,Normal,
Anti Streptolysin Qualitative,Positive 1:8,Normal,
Anti Streptolysin Qualitative,Positive 1:4,Normal,
Anti Streptolysin Qualitative,Positive 1:2,Normal,
HbsAg ELISA,Negative,Normal,
HbsAg ELISA,Positive,Abnormal,
HbsAg Rapid,Negative,Normal,
HbsAg Rapid,Positive,Abnormal,
HCV ELISA,Negative,Normal,
HCV ELISA,Positive,Abnormal,
HCV Tridot,Negative,Normal,
HCV Tridot,Positive,Abnormal,
HIV ELISA (Blood),Negative,Normal,
HIV ELISA (Blood),Positive,Abnormal,
Albumin,4+,Abnormal,
Albumin,3+,Abnormal,
Albumin,2+,Abnormal,
Albumin,1+,Abnormal,
Albumin,Trace,Normal,
Albumin,Nil,Normal,
Dengue (Elisa),Negative,Normal,
Dengue (Elisa),Positive,Abnormal,
Dengue (Rapid),Negative,Normal,
Dengue (Rapid),Positive,Abnormal,
Hepatitis A (Elisa),Negative,Normal,
Hepatitis A (Elisa),Positive,Abnormal,
Hepatitis A (Rapid),Negative,Normal,
Hepatitis A (Rapid),Positive,Abnormal,
Hepatitis E (Elisa),Negative,Normal,
Hepatitis E (Elisa),Positive,Abnormal,
Hepatitis E (Rapid),Negative,Normal,
Hepatitis E (Rapid),Positive,Abnormal,
LE (Vaginal),Negative,Normal,
LE (Vaginal),Positive,Abnormal,
Microscopy of KOH mount,Absent,Normal,
Microscopy of KOH mount,Present,Abnormal,
Bence Jones Protein,Negative,Normal,
Bence Jones Protein,Positive,Abnormal,
Montoux Test,Negative,Normal,
Montoux Test,Positive,Abnormal,
Scrapping for Fungus,Positive 4+,Abnormal,
Scrapping for Fungus,Positive 3+,Abnormal,
Scrapping for Fungus,Positive 2+,Abnormal,
Scrapping for Fungus,Positive 1+,Abnormal,
Scrapping for Fungus,Positive,Abnormal,
Scrapping for Fungus,Negative,Normal,
VDRL Rapid,Negative,Normal,
VDRL Rapid,Positive,Abnormal,
Troponin - T,Negative,Normal,
Troponin - T,Positive,Abnormal,
Urine Bile Pigment,Positive 4+,Abnormal,
Urine Bile Pigment,Positive 3+,Abnormal,
Urine Bile Pigment,Positive 2+,Abnormal,
Urine Bile Pigment,Positive 1+,Abnormal,
Urine Bile Pigment,Positive,Abnormal,
Urine Bile Pigment,Negative,Normal,
Urine Bile Salt,Positive 4+,Abnormal,
Urine Bile Salt,Positive 3+,Abnormal,
Urine Bile Salt,Positive 2+,Abnormal,
Urine Bile Salt,Positive 1+,Abnormal,
Urine Bile Salt,Positive,Abnormal,
Urine Bile Salt,Negative,Normal,
Urine Ketone,4+,Abnormal,
Urine Ketone,3+,Abnormal,
Urine Ketone,2+,Abnormal,
Urine Ketone,1+,Abnormal,
Urine Ketone,Trace,Abnormal,
Urine Ketone,Nil,Normal,
Urine Pregnancy Test,Negative,Normal,
Urine Pregnancy Test,Positive,Normal,
VDRL ELISA,Negative,Normal,
VDRL ELISA,Positive,Abnormal,
Whiff test,Negative,Normal,
Whiff test,Positive,Abnormal,
WIDAL Qualitative, 40),Normal,
WIDAL Qualitative,Negative (&lt,Normal,
WIDAL Qualitative,Positive 1:320,Abnormal,
WIDAL Qualitative,Positive 1:160,Abnormal,
WIDAL Qualitative,Positive 1:80,Abnormal,
WIDAL Qualitative,Positive 1:40,Normal,
ZN Stain (Urine),Negative,Normal,
ZN Stain (Urine),Positive 6+,Abnormal,
ZN Stain (Urine),Positive 5+,Abnormal,
ZN Stain (Urine),Positive 4+,Abnormal,
ZN Stain (Urine),Positive 3+,Abnormal,
ZN Stain (Urine),Positive 2+,Abnormal,
ZN Stain (Urine),Positive 1+,Abnormal,
ZN Stain (Stool),Negative,Normal,
ZN Stain (Stool),Positive 6+,Abnormal,
ZN Stain (Stool),Positive 5+,Abnormal,
ZN Stain (Stool),Positive 4+,Abnormal,
ZN Stain (Stool),Positive 3+,Abnormal,
ZN Stain (Stool),Positive 2+,Abnormal,
ZN Stain (Stool),Positive 1+,Abnormal,
ZN Stain (Body Fluid),Negative,Normal,
ZN Stain (Body Fluid),Positive 6+,Abnormal,
ZN Stain (Body Fluid),Positive 5+,Abnormal,
ZN Stain (Body Fluid),Positive 4+,Abnormal,
ZN Stain (Body Fluid),Positive 3+,Abnormal,
ZN Stain (Body Fluid),Positive 2+,Abnormal,
ZN Stain (Body Fluid),Positive 1+,Abnormal,
ZN Stain (Slit Skin),Negative,Normal,
ZN Stain (Slit Skin),Positive 6+,Abnormal,
ZN Stain (Slit Skin),Positive 5+,Abnormal,
ZN Stain (Slit Skin),Positive 4+,Abnormal,
ZN Stain (Slit Skin),Positive 3+,Abnormal,
ZN Stain (Slit Skin),Positive 2+,Abnormal,
ZN Stain (Slit Skin),Positive 1+,Abnormal,
ZN Stain (Body Fluid) (Pus),Negative,Normal,
ZN Stain (Body Fluid) (Pus),Positive 6+,Abnormal,
ZN Stain (Body Fluid) (Pus),Positive 5+,Abnormal,
ZN Stain (Body Fluid) (Pus),Positive 4+,Abnormal,
ZN Stain (Body Fluid) (Pus),Positive 3+,Abnormal,
ZN Stain (Body Fluid) (Pus),Positive 2+,Abnormal,
ZN Stain (Body Fluid) (Pus),Positive 1+,Abnormal,
ZN Stain (Sputum),Negative,Normal,
ZN Stain (Sputum),Positive 6+,Abnormal,
ZN Stain (Sputum),Positive 5+,Abnormal,
ZN Stain (Sputum),Positive 4+,Abnormal,
ZN Stain (Sputum),Positive 3+,Abnormal,
ZN Stain (Sputum),Positive 2+,Abnormal,
ZN Stain (Sputum),Positive 1+,Abnormal,
ZN Stain (Asitic Fluid),Negative,Normal,
ZN Stain (Asitic Fluid),Positive 6+,Abnormal,
ZN Stain (Asitic Fluid),Positive 5+,Abnormal,
ZN Stain (Asitic Fluid),Positive 4+,Abnormal,
ZN Stain (Asitic Fluid),Positive 3+,Abnormal,
ZN Stain (Asitic Fluid),Positive 2+,Abnormal,
ZN Stain (Asitic Fluid),Positive 1+,Abnormal,
ZN Stain (CSF),Negative,Normal,
ZN Stain (CSF),Positive 6+,Abnormal,
ZN Stain (CSF),Positive 5+,Abnormal,
ZN Stain (CSF),Positive 4+,Abnormal,
ZN Stain (CSF),Positive 3+,Abnormal,
ZN Stain (CSF),Positive 2+,Abnormal,
ZN Stain (CSF),Positive 1+,Abnormal,
ZN Stain (Knee Joint Fluid),Negative,Normal,
ZN Stain (Knee Joint Fluid),Positive 6+,Abnormal,
ZN Stain (Knee Joint Fluid),Positive 5+,Abnormal,
ZN Stain (Knee Joint Fluid),Positive 4+,Abnormal,
ZN Stain (Knee Joint Fluid),Positive 3+,Abnormal,
ZN Stain (Knee Joint Fluid),Positive 2+,Abnormal,
ZN Stain (Knee Joint Fluid),Positive 1+,Abnormal,
ZN Stain (Plural Fluid),Negative,Normal,
ZN Stain (Plural Fluid),Positive 6+,Abnormal,
ZN Stain (Plural Fluid),Positive 5+,Abnormal,
ZN Stain (Plural Fluid),Positive 4+,Abnormal,
ZN Stain (Plural Fluid),Positive 3+,Abnormal,
ZN Stain (Plural Fluid),Positive 2+,Abnormal,
ZN Stain (Plural Fluid),Positive 1+,Abnormal,
ZN Stain (Pus),Negative,Normal,
ZN Stain (Pus),Positive 6+,Abnormal,
ZN Stain (Pus),Positive 5+,Abnormal,
ZN Stain (Pus),Positive 4+,Abnormal,
ZN Stain (Pus),Positive 3+,Abnormal,
ZN Stain (Pus),Positive 2+,Abnormal,
ZN Stain (Pus),Positive 1+,Abnormal,
ZN Stain (Pyrotinial Fluid),Negative,Normal,
ZN Stain (Pyrotinial Fluid),Positive 6+,Abnormal,
ZN Stain (Pyrotinial Fluid),Positive 5+,Abnormal,
ZN Stain (Pyrotinial Fluid),Positive 4+,Abnormal,
ZN Stain (Pyrotinial Fluid),Positive 3+,Abnormal,
ZN Stain (Pyrotinial Fluid),Positive 2+,Abnormal,
ZN Stain (Pyrotinial Fluid),Positive 1+,Abnormal,
